[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Tue May 09 12:07:50 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 1	 0
Tue May 09 12:08:01 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 1	 0
Tue May 09 12:08:12 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 0
Tue May 09 12:08:22 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 0
Tue May 09 12:08:33 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 0
Tue May 09 12:08:43 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Tue May 09 12:08:54 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 0
Tue May 09 12:09:05 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Tue May 09 12:09:15 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Tue May 09 12:09:26 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Tue May 09 12:09:37 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Tue May 09 12:09:47 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 1	 0
Tue May 09 12:09:58 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 1	 0
Tue May 09 12:10:08 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 0
Tue May 09 12:10:19 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 0
Tue May 09 12:10:30 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.30	 1	 0
Tue May 09 12:10:40 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 0
Tue May 09 12:10:51 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.30	 1	 0
Tue May 09 12:11:02 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 0
Tue May 09 12:11:12 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.40	 1	 1
Tue May 09 12:11:23 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 1
Tue May 09 12:11:33 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 1
