CS1	-0.123
CS2	0.393
CS3	-0.291
CS4	-0.108
SS 	0.051
OS 	-0.378
HS 	0.17
CD1	-0.123
CD2	0.393
CD3	-0.291
CD4	-0.108
SD 	0.051
OD 	-0.378
HD 	0.17
C0 	-0.246
H01	0.09
H02	0.09
C1 	0.013
H11	0.09
H12	0.09
O2 	-0.383
C3 	0.005
H31	0.09
H32	0.09
C4 	0.009
H41	0.09
H42	0.09
O5 	-0.383
C6 	0.009
H61	0.09
H62	0.09
C7 	0.002
H71	0.09
H72	0.09
O8 	-0.383
C9 	-0.049
H91	0.09
H92	0.09
H93	0.09
Caa	-0.246
Ha1	0.09
Ha2	0.09
Cb 	0.013
Hb1	0.09
Hb2	0.09
Oc 	-0.383
Cd 	0.005
Hd1	0.09
Hd2	0.09
Ce 	0.009
He1	0.09
He2	0.09
Of 	-0.383
Cg 	0.009
Hg1	0.09
Hg2	0.09
Ch 	0.002
Hh1	0.09
Hh2	0.09
Oi 	-0.383
Cj 	-0.049
Hj1	0.09
Hj2	0.09
Hj3	0.09
SnS	1.169
Cx1	-0.784
Hx1	0.175
Hx2	0.178
Hx3	0.165
Cx2	-0.775
Hx4	0.167
Hx5	0.168
Hx6	0.153
Cx3	-0.854
Hx7	0.195
Hx8	0.186
Hx9	0.199
SnD	1.169
Cy1	-0.784
Hy1	0.175
Hy2	0.178
Hy3	0.165
Cy2	-0.775
Hy4	0.167
Hy5	0.168
Hy6	0.153
Cy3	-0.854
Hy7	0.195
Hy8	0.186
Hy9	0.199
