CS1	0.342
CS2	0.268
CS3	-0.23
CS4	0.375
SS 	-1.318
OS 	-0.434
HS 	0.155
CD1	0.342
CD2	0.268
CD3	-0.23
CD4	0.375
SD 	-1.318
OD 	-0.434
HD 	0.155
C0 	-0.026
H01	0.153
H02	0.153
C1 	-0.025
H11	0.172
H12	0.172
O2 	-0.485
C3 	-0.047
H31	0.152
H32	0.152
C4 	-0.05
H41	0.148
H42	0.148
O5 	-0.484
C6 	-0.051
H61	0.148
H62	0.148
C7 	-0.046
H71	0.147
H72	0.147
O8 	-0.468
C9 	-0.212
H91	0.149
H92	0.161
H93	0.149
Caa	-0.026
Ha1	0.153
Ha2	0.153
Cb 	-0.025
Hb1	0.172
Hb2	0.172
Oc 	-0.485
Cd 	-0.047
Hd1	0.152
Hd2	0.152
Ce 	-0.05
He1	0.148
He2	0.148
Of 	-0.484
Cg 	-0.051
Hg1	0.148
Hg2	0.148
Ch 	-0.046
Hh1	0.147
Hh2	0.147
Oi 	-0.468
Cj 	-0.212
Hj1	0.149
Hj2	0.161
Hj3	0.149
SnS	0.145
Cx1	-0.439
Hx1	0.183
Hx2	0.167
Hx3	0.175
Cx2	-0.423
Hx4	0.181
Hx5	0.188
Hx6	0.174
Cx3	-0.439
Hx7	0.168
Hx8	0.175
Hx9	0.182
SnD	0.145
Cy1	-0.439
Hy1	0.183
Hy2	0.167
Hy3	0.175
Cy2	-0.423
Hy4	0.181
Hy5	0.188
Hy6	0.174
Cy3	-0.439
Hy7	0.168
Hy8	0.175
Hy9	0.182
