CS1	-0.082
CS2	0.631
CS3	-0.535
CS4	-0.217
SS 	-0.111
OS 	-0.563
HS 	0.203
CD1	-0.082
CD2	0.631
CD3	-0.535
CD4	-0.217
SD 	-0.111
OD 	-0.563
HD 	0.203
C0 	0.196
H01	0.049
H02	0.048
C1 	0.515
H11	-0.018
H12	-0.019
O2 	-0.797
C3 	0.357
H31	-0.015
H32	-0.014
C4 	0.575
H41	-0.046
H42	-0.046
O5 	-0.784
C6 	0.34
H61	-0.014
H62	-0.015
C7 	0.371
H71	0.005
H72	0.005
O8 	-0.548
C9 	-0.017
H91	0.061
H92	0.109
H93	0.061
Caa	0.196
Ha1	0.049
Ha2	0.048
Cb 	0.515
Hb1	-0.018
Hb2	-0.019
Oc 	-0.797
Cd 	0.357
Hd1	-0.015
Hd2	-0.014
Ce 	0.575
He1	-0.046
He2	-0.046
Of 	-0.784
Cg 	0.34
Hg1	-0.014
Hg2	-0.015
Ch 	0.371
Hh1	0.005
Hh2	0.005
Oi 	-0.548
Cj 	-0.017
Hj1	0.061
Hj2	0.109
Hj3	0.061
SnS	1.142
Cx1	-0.784
Hx1	0.175
Hx2	0.178
Hx3	0.165
Cx2	-0.775
Hx4	0.167
Hx5	0.168
Hx6	0.153
Cx3	-0.854
Hx7	0.195
Hx8	0.186
Hx9	0.199
SnD	1.142
Cy1	-0.784
Hy1	0.175
Hy2	0.178
Hy3	0.165
Cy2	-0.775
Hy4	0.167
Hy5	0.168
Hy6	0.153
Cy3	-0.854
Hy7	0.195
Hy8	0.186
Hy9	0.199
