[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Wed Apr 26 07:20:49 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 14
Wed Apr 26 07:21:00 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 17
Wed Apr 26 07:21:11 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 19
Wed Apr 26 07:21:21 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 21
Wed Apr 26 07:21:32 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 23
Wed Apr 26 07:21:43 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 25
Wed Apr 26 07:21:53 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 27
Wed Apr 26 07:22:04 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 29
Wed Apr 26 07:22:15 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 31
Wed Apr 26 07:22:25 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 34
Wed Apr 26 07:22:36 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 36
Wed Apr 26 07:22:46 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 2	 38
Wed Apr 26 07:22:57 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 40
Wed Apr 26 07:23:08 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 42
Wed Apr 26 07:23:18 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 44
Wed Apr 26 07:23:29 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 46
Wed Apr 26 07:23:39 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 49
Wed Apr 26 07:23:50 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 51
Wed Apr 26 07:24:01 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 53
Wed Apr 26 07:24:11 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 55
Wed Apr 26 07:24:22 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 2	 57
Wed Apr 26 07:24:33 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 2	 59
Wed Apr 26 07:24:43 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 61
Wed Apr 26 07:24:54 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 2	 62
Wed Apr 26 07:25:04 2017	 172.90	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 62
Wed Apr 26 07:25:15 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 62
Wed Apr 26 07:25:26 2017	 172.90	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 62
Wed Apr 26 07:25:36 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 2	 63
Wed Apr 26 07:25:47 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 2	 65
Wed Apr 26 07:25:58 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 67
Wed Apr 26 07:26:08 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 69
Wed Apr 26 07:26:19 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 2	 71
Wed Apr 26 07:26:30 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 2	 73
Wed Apr 26 07:26:40 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 2	 75
Wed Apr 26 07:26:51 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 2	 78
Wed Apr 26 07:27:01 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 2	 80
Wed Apr 26 07:27:12 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 82
Wed Apr 26 07:27:23 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 2	 84
Wed Apr 26 07:27:33 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.70	 2	 86
Wed Apr 26 07:27:44 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 2	 88
Wed Apr 26 07:27:54 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 2	 90
Wed Apr 26 07:28:05 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 93
Wed Apr 26 07:28:16 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 95
Wed Apr 26 07:28:26 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 96
Wed Apr 26 07:28:37 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 96
Wed Apr 26 07:28:48 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 2
Wed Apr 26 07:28:58 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 4
Wed Apr 26 07:29:09 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 3	 6
Wed Apr 26 07:29:19 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 9
Wed Apr 26 07:29:30 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.50	 3	 11
Wed Apr 26 07:29:41 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 3	 13
Wed Apr 26 07:29:51 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 15
Wed Apr 26 07:30:02 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 16
Wed Apr 26 07:30:13 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 3	 16
Wed Apr 26 07:30:23 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 3	 16
Wed Apr 26 07:30:34 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 3	 16
Wed Apr 26 07:30:44 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 3	 16
Wed Apr 26 07:30:55 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 3	 16
Wed Apr 26 07:31:06 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 18
Wed Apr 26 07:31:16 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 20
Wed Apr 26 07:31:27 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 22
Wed Apr 26 07:31:38 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 24
Wed Apr 26 07:31:48 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 27
Wed Apr 26 07:31:59 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 29
Wed Apr 26 07:32:09 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 31
Wed Apr 26 07:32:20 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 33
Wed Apr 26 07:32:31 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 35
Wed Apr 26 07:32:41 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 37
Wed Apr 26 07:32:52 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 39
Wed Apr 26 07:33:03 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 39
Wed Apr 26 07:33:13 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 4	 2
Wed Apr 26 07:33:24 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 4	 4
