[Scale3Pack 1]
       310     0.997         5
       311     1.000         5
       312     1.003         5
       313     1.006         5
       314     1.009         5
       315     1.013         5
       316     1.018         5
       317     1.022         5
       318     1.027         5
       319     1.030         5
       320     1.034         5
       321     1.038         5
       322     1.043         5
       323     1.045         5
       324     1.047         5
       325     1.050         5
       326     1.053         5
       327     1.057         5
       328     1.058         5
       329     1.060         5
       330     1.062         5
       331     1.064         5
       332     1.066         5
       333     1.067         5
       334     1.068         5
       335     1.069         5
       336     1.071         5
       337     1.074         5
       338     1.077         5
       339     1.080         5
       340     1.081         5
       341     1.081         5
       342     1.080         5
       343     1.081         5
       344     1.081         5
       345     1.081         5
       346     1.081         5
       347     1.082         5
       348     1.083         5
       349     1.085         5
       350     1.088         5
       351     1.091         5
       352     1.094         5
       353     1.098         5
       354     1.102         5
       355     1.106         5
       356     1.111         5
       357     1.116         5
       358     1.120         5
       359     1.124         5
       360     1.127         5
       361     1.130         5
       362     1.132         5
       363     1.133         5
       364     1.133         5
       365     1.090         6
       366     1.091         6
       367     1.090         6
       368     1.091         6
       369     1.093         6
       370     1.095         6
       371     1.097         6
       372     1.099         6
       373     1.101         6
       374     1.104         6
       375     1.107         6
       376     1.109         6
       377     1.112         6
       378     1.115         6
       379     1.118         6
       380     1.120         6
       381     1.123         6
       382     1.125         6
       383     1.128         6
       384     1.130         6
       385     1.134         6
       386     1.136         6
       387     1.138         6
       388     1.140         6
       389     1.142         6
       390     1.144         6
       391     1.146         6
       392     1.148         6
       393     1.151         6
       394     1.152         6
       395     1.153         6
       396     1.155         6
       397     1.157         6
       398     1.158         6
       399     1.159         6
       400     1.158         6
       401     1.157         6
       402     1.156         6
       403     1.155         6
       404     1.153         6
       405     1.152         6
       406     1.152         6
       407     1.151         6
       408     1.151         6
       409     1.148         6
       410     1.147         6
       411     1.146         6
       412     1.146         6
       413     1.145         6
       414     1.145         6
       415     1.143         6
       416     1.142         6
       417     1.140         6
       418     1.139         6
       419     1.138         6
       420     1.137         6
       421     1.136         6
       422     1.135         6
       423     1.135         6
       424     1.136         6
       425     1.137         6
       426     1.138         6
       427     1.139         6
       428     1.140         6
       429     1.142         6
       430     1.144         6
       431     1.146         6
       432     1.148         6
       433     1.149         6
       434     1.149         6
       435     1.149         6
       436     1.147         6
       437     1.147         6
       438     1.005         7
       439     1.005         7
       440     1.005         7
       441     1.003         7
       442     1.003         7
       443     1.004         7
       444     1.001         7
       445     0.995         7
       446     0.989         7
       447     0.977         7
       448     0.967         7
       449     0.957         7
       450     0.947         7
       451     0.941         7
