[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 08:35:46 2017	 -39.98	  18.60	  43.47	        0	 -40.00	        0
Tue May 09 08:35:57 2017	 -39.98	  18.62	  43.53	        0	 -40.00	        0
Tue May 09 08:36:08 2017	 -39.98	  18.65	  43.57	        0	 -40.00	        0
Tue May 09 08:36:18 2017	 -39.98	  18.65	  43.61	        0	 -40.00	        0
Tue May 09 08:36:29 2017	 -39.98	  18.68	  43.61	        0	 -40.00	        0
Tue May 09 08:36:40 2017	 -39.98	  18.68	  43.61	        0	 -40.00	        0
Tue May 09 08:36:50 2017	 -39.99	  18.71	  43.59	        0	 -40.00	        0
Tue May 09 08:37:01 2017	 -40.00	  18.71	  43.48	        0	 -40.00	        0
Tue May 09 08:37:11 2017	 -40.00	  18.74	  43.45	        0	 -40.00	        0
Tue May 09 08:37:22 2017	 -40.00	  18.77	  43.52	        0	 -40.00	        0
Tue May 09 08:37:33 2017	 -40.00	  18.77	  43.48	        0	 -40.00	        0
Tue May 09 08:37:43 2017	 -40.00	  18.80	  43.54	        0	 -40.00	        0
Tue May 09 08:37:54 2017	 -40.00	  18.80	  43.52	        0	 -40.00	        0
Tue May 09 08:38:05 2017	 -39.98	  18.83	  43.72	        0	 -40.00	        0
Tue May 09 08:38:15 2017	 -39.98	  18.83	  43.75	        0	 -40.00	        0
Tue May 09 08:38:26 2017	 -39.98	  18.85	  43.74	        0	 -40.00	        0
Tue May 09 08:38:37 2017	 -39.99	  18.85	  43.70	        0	 -40.00	        0
Tue May 09 08:38:47 2017	 -39.99	  18.88	  43.68	        0	 -40.00	        0
Tue May 09 08:38:58 2017	 -39.98	  18.91	  43.79	        0	 -40.00	        0
Tue May 09 08:39:08 2017	 -39.98	  18.94	  43.88	        0	 -40.00	        0
Tue May 09 08:39:19 2017	 -39.98	  18.94	  43.86	        0	 -40.00	        0
Tue May 09 08:39:30 2017	 -39.99	  18.94	  43.84	        0	 -40.00	        0
Tue May 09 08:39:40 2017	 -39.99	  18.97	  43.89	        0	 -40.00	        0
Tue May 09 08:39:51 2017	 -40.00	  18.97	  43.79	        0	 -40.00	        0
Tue May 09 08:40:02 2017	 -40.00	  19.00	  43.80	        0	 -40.00	        0
Tue May 09 08:40:12 2017	 -40.00	  19.03	  43.81	        0	 -40.00	        0
Tue May 09 08:40:23 2017	 -40.00	  19.03	  43.74	        0	 -40.00	        0
Tue May 09 08:40:34 2017	 -40.01	  19.06	  43.71	        0	 -40.00	        0
Tue May 09 08:40:44 2017	 -40.00	  19.06	  43.80	        0	 -40.00	        0
Tue May 09 08:40:55 2017	 -39.99	  19.06	  43.92	        0	 -40.00	        0
Tue May 09 08:41:05 2017	 -39.99	  19.08	  43.90	        0	 -40.00	        0
Tue May 09 08:41:16 2017	 -39.98	  19.11	  44.04	        0	 -40.00	        0
Tue May 09 08:41:27 2017	 -39.98	  19.14	  44.07	        0	 -40.00	        0
Tue May 09 08:41:37 2017	 -39.98	  19.14	  44.14	        0	 -40.00	        0
Tue May 09 08:41:48 2017	 -39.98	  19.17	  44.18	        0	 -40.00	        0
Tue May 09 08:41:59 2017	 -39.98	  19.17	  44.21	        0	 -40.00	        0
Tue May 09 08:42:09 2017	 -39.98	  19.20	  44.20	        0	 -40.00	        0
Tue May 09 08:42:20 2017	 -39.99	  19.20	  44.12	        0	 -40.00	        0
Tue May 09 08:42:31 2017	 -40.00	  19.23	  44.09	        0	 -40.00	        0
Tue May 09 08:42:41 2017	 -40.00	  19.23	  44.03	        0	 -40.00	        0
Tue May 09 08:42:52 2017	 -39.98	  19.26	  44.24	        0	 -40.00	        0
Tue May 09 08:43:02 2017	 -39.99	  19.26	  44.23	        0	 -40.00	        0
Tue May 09 08:43:13 2017	 -39.98	  19.29	  44.35	        0	 -40.00	        0
Tue May 09 08:43:24 2017	 -39.98	  19.29	  44.38	        0	 -40.00	        0
Tue May 09 08:43:34 2017	 -39.98	  19.31	  44.35	        0	 -40.00	        0
Tue May 09 08:43:45 2017	 -40.00	  19.34	  44.24	        0	 -40.00	        0
Tue May 09 08:43:56 2017	 -39.99	  19.34	  44.29	        0	 -40.00	        0
Tue May 09 08:44:06 2017	 -39.99	  19.37	  44.35	        0	 -40.00	        0
Tue May 09 08:44:17 2017	 -39.99	  19.37	  44.35	        0	 -40.00	        0
Tue May 09 08:44:28 2017	 -39.98	  19.40	  44.45	        0	 -40.00	        0
Tue May 09 08:44:38 2017	 -39.99	  19.40	  44.42	        0	 -40.00	        0
Tue May 09 08:44:49 2017	 -39.99	  19.43	  44.45	        0	 -40.00	        0
Tue May 09 08:44:59 2017	 -39.99	  19.43	  44.40	        0	 -40.00	        0
Tue May 09 08:45:10 2017	 -39.99	  19.46	  44.44	        0	 -40.00	        0
Tue May 09 08:45:21 2017	 -39.99	  19.46	  44.50	        0	 -40.00	        0
Tue May 09 08:45:31 2017	 -39.99	  19.49	  44.54	        0	 -40.00	        0
Tue May 09 08:45:42 2017	 -40.00	  19.49	  44.46	        0	 -40.00	        0
Tue May 09 08:45:53 2017	 -39.99	  19.52	  44.48	        0	 -40.00	        0
Tue May 09 08:46:03 2017	 -39.99	  19.55	  44.57	        0	 -40.00	        0
Tue May 09 08:46:14 2017	 -39.98	  19.55	  44.71	        0	 -40.00	        0
Tue May 09 08:46:25 2017	 -39.98	  19.57	  44.68	        0	 -40.00	        0
Tue May 09 08:46:35 2017	 -39.99	  19.60	  44.66	        0	 -40.00	        0
Tue May 09 08:46:46 2017	 -39.99	  19.60	  44.67	        0	 -40.00	        0
Tue May 09 08:46:56 2017	 -39.99	  19.63	  44.72	        0	 -40.00	        0
Tue May 09 08:47:07 2017	 -39.98	  19.63	  44.83	        0	 -40.00	        0
Tue May 09 08:47:18 2017	 -39.99	  19.63	  44.79	        0	 -40.00	        0
Tue May 09 08:47:28 2017	 -39.99	  19.66	  44.79	        0	 -40.00	        0
Tue May 09 08:47:39 2017	 -40.00	  19.69	  44.71	        0	 -40.00	        0
Tue May 09 08:47:50 2017	 -39.99	  19.69	  44.73	        0	 -40.00	        0
Tue May 09 08:48:00 2017	 -40.00	  19.72	  44.72	        0	 -40.00	        0
Tue May 09 08:48:11 2017	 -40.00	  19.75	  44.73	        0	 -40.00	        0
Tue May 09 08:48:22 2017	 -40.00	  19.75	  44.71	        0	 -40.00	        0
Tue May 09 08:48:32 2017	 -39.98	  19.78	  44.88	        0	 -40.00	        0
Tue May 09 08:48:43 2017	 -39.97	  19.78	  45.03	        0	 -40.00	        0
Tue May 09 08:48:53 2017	 -39.98	  19.78	  45.03	        0	 -40.00	        0
Tue May 09 08:49:04 2017	 -39.98	  19.80	  45.08	        0	 -40.00	        0
Tue May 09 08:49:15 2017	 -39.98	  19.83	  45.08	        0	 -40.00	        0
Tue May 09 08:49:25 2017	 -39.98	  19.80	  45.15	        0	 -40.00	        0
Tue May 09 08:49:36 2017	 -39.99	  19.75	  45.06	        0	 -40.00	        0
Tue May 09 08:49:47 2017	 -39.99	  19.69	  45.03	        0	 -40.00	        0
Tue May 09 08:49:57 2017	 -40.01	  19.63	  44.91	        0	 -40.00	        0
Tue May 09 08:50:08 2017	 -40.01	  19.57	  44.90	        0	 -40.00	        0
Tue May 09 08:50:19 2017	 -40.01	  19.52	  44.89	        0	 -40.00	        0
Tue May 09 08:50:29 2017	 -40.01	  19.46	  44.80	        0	 -40.00	        0
Tue May 09 08:50:40 2017	 -40.02	  19.40	  44.72	        0	 -40.00	        0
Tue May 09 08:50:50 2017	 -40.01	  19.34	  44.75	        0	 -40.00	        0
Tue May 09 08:51:01 2017	 -40.03	  19.29	  44.52	        0	 -40.00	        0
Tue May 09 08:51:12 2017	 -40.02	  19.23	  44.53	        0	 -40.00	        0
Tue May 09 08:51:22 2017	 -40.03	  19.14	  44.38	        0	 -40.00	        0
Tue May 09 08:51:33 2017	 -40.03	  19.08	  44.32	        0	 -40.00	        0
Tue May 09 08:51:44 2017	 -40.03	  19.03	  44.26	        0	 -40.00	        0
Tue May 09 08:51:54 2017	 -40.04	  18.94	  44.16	        0	 -40.00	        0
Tue May 09 08:52:05 2017	 -40.03	  18.88	  44.13	        0	 -40.00	        0
Tue May 09 08:52:16 2017	 -40.05	  18.74	  43.88	        0	 -40.00	        0
Tue May 09 08:52:26 2017	 -40.05	  18.74	  43.88	        0	 -40.00	        0
Tue May 09 08:52:37 2017	 -40.05	  18.68	  43.77	        0	 -40.00	        0
Tue May 09 08:52:48 2017	 -40.05	  18.62	  43.63	        0	 -40.00	        0
Tue May 09 08:52:58 2017	 -40.05	  18.54	  43.59	        0	 -40.00	        0
Tue May 09 08:53:09 2017	 -40.06	  18.48	  43.34	        0	 -40.00	        0
Tue May 09 08:53:19 2017	 -40.05	  18.39	  43.37	        0	 -40.00	        0
Tue May 09 08:53:30 2017	 -40.06	  18.34	  43.13	        0	 -40.00	        0
Tue May 09 08:53:41 2017	 -40.06	  18.28	  43.02	        0	 -40.00	        0
Tue May 09 08:53:51 2017	 -40.06	  18.22	  42.90	        0	 -40.00	        0
Tue May 09 08:54:02 2017	 -40.04	  18.13	  43.00	        0	 -40.00	        0
Tue May 09 08:54:13 2017	 -40.05	  18.08	  42.84	        0	 -40.00	        0
Tue May 09 08:54:23 2017	 -40.04	  18.02	  42.84	        0	 -40.00	        0
Tue May 09 08:54:34 2017	 -40.04	  17.96	  42.77	        0	 -40.00	        0
Tue May 09 08:54:45 2017	 -40.03	  17.90	  42.78	        0	 -40.00	        0
Tue May 09 08:54:55 2017	 -40.05	  17.82	  42.58	        0	 -40.00	        0
Tue May 09 08:55:06 2017	 -40.05	  17.76	  42.46	        0	 -40.00	        0
Tue May 09 08:55:17 2017	 -40.03	  17.70	  42.54	        0	 -40.00	        0
Tue May 09 08:55:27 2017	 -40.03	  17.65	  42.48	        0	 -40.00	        0
Tue May 09 08:55:38 2017	 -40.03	  17.59	  42.42	        0	 -40.00	        0
Tue May 09 08:55:49 2017	 -40.03	  17.53	  42.37	        0	 -40.00	        0
Tue May 09 08:55:59 2017	 -40.04	  17.44	  42.29	        0	 -40.00	        0
Tue May 09 08:56:10 2017	 -40.03	  17.39	  42.24	        0	 -40.00	        0
Tue May 09 08:56:21 2017	 -40.04	  17.33	  42.16	        0	 -40.00	        0
Tue May 09 08:56:31 2017	 -40.06	  17.27	  41.86	        0	 -40.00	        0
Tue May 09 08:56:42 2017	 -40.05	  17.18	  41.81	        0	 -40.00	        0
Tue May 09 08:56:53 2017	 -40.06	  17.13	  41.61	        0	 -40.00	        0
Tue May 09 08:57:03 2017	 -40.04	  17.07	  41.69	        0	 -40.00	        0
Tue May 09 08:57:14 2017	 -40.05	  17.04	  41.56	        0	 -40.00	        0
Tue May 09 08:57:24 2017	 -40.04	  17.01	  41.53	        0	 -40.00	        0
Tue May 09 08:57:35 2017	 -40.05	  17.01	  41.37	        0	 -40.00	        0
Tue May 09 08:57:46 2017	 -40.04	  17.04	  41.43	        0	 -40.00	        0
Tue May 09 08:57:56 2017	 -40.04	  17.10	  41.28	        0	 -40.00	        0
Tue May 09 08:58:07 2017	 -40.04	  17.10	  41.28	        0	 -40.00	        0
Tue May 09 08:58:18 2017	 -40.03	  17.10	  41.24	        0	 -40.00	        0
Tue May 09 08:58:28 2017	 -40.03	  17.13	  41.18	        0	 -40.00	        0
Tue May 09 08:58:39 2017	 -40.02	  17.16	  41.25	        0	 -40.00	        0
Tue May 09 08:58:50 2017	 -40.01	  17.18	  41.34	        0	 -40.00	        0
Tue May 09 08:59:00 2017	 -40.01	  17.21	  41.38	        0	 -40.00	        0
Tue May 09 08:59:11 2017	 -40.00	  17.24	  41.45	        0	 -40.00	        0
Tue May 09 08:59:22 2017	 -40.00	  17.27	  41.48	        0	 -40.00	        0
Tue May 09 08:59:32 2017	 -39.99	  17.27	  41.60	        0	 -40.00	        0
Tue May 09 08:59:43 2017	 -39.98	  17.30	  41.72	        0	 -40.00	        0
Tue May 09 08:59:53 2017	 -39.98	  17.30	  41.76	        0	 -40.00	        0
Tue May 09 09:00:04 2017	 -39.98	  17.33	  41.81	        0	 -40.00	        0
Tue May 09 09:00:15 2017	 -39.98	  17.33	  41.85	        0	 -40.00	        0
Tue May 09 09:00:25 2017	 -39.98	  17.36	  41.84	        0	 -40.00	        0
Tue May 09 09:00:36 2017	 -39.99	  17.39	  41.80	        0	 -40.00	        0
