[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 12:20:25 2017	 -39.98	  17.65	  42.56	        0	 -40.00	        0
Tue May 09 12:20:36 2017	 -39.99	  17.67	  42.47	        0	 -40.00	        0
Tue May 09 12:20:47 2017	 -39.99	  17.67	  42.50	        0	 -40.00	        0
Tue May 09 12:20:57 2017	 -39.99	  17.70	  42.48	        0	 -40.00	        0
Tue May 09 12:21:08 2017	 -39.98	  17.73	  42.60	        0	 -40.00	        0
Tue May 09 12:21:19 2017	 -39.98	  17.73	  42.61	        0	 -40.00	        0
Tue May 09 12:21:29 2017	 -39.99	  17.76	  42.57	        0	 -40.00	        0
Tue May 09 12:21:40 2017	 -40.00	  17.79	  42.52	        0	 -40.00	        0
Tue May 09 12:21:51 2017	 -39.99	  17.79	  42.59	        0	 -40.00	        0
Tue May 09 12:22:01 2017	 -39.98	  17.82	  42.69	        0	 -40.00	        0
Tue May 09 12:22:12 2017	 -39.98	  17.82	  42.73	        0	 -40.00	        0
Tue May 09 12:22:22 2017	 -39.99	  17.85	  42.72	        0	 -40.00	        0
Tue May 09 12:22:33 2017	 -39.99	  17.85	  42.73	        0	 -40.00	        0
Tue May 09 12:22:44 2017	 -40.00	  17.88	  42.65	        0	 -40.00	        0
Tue May 09 12:22:54 2017	 -39.99	  17.88	  42.71	        0	 -40.00	        0
Tue May 09 12:23:05 2017	 -40.00	  17.90	  42.63	        0	 -40.00	        0
Tue May 09 12:23:16 2017	 -39.99	  17.93	  42.71	        0	 -40.00	        0
Tue May 09 12:23:26 2017	 -39.98	  17.93	  42.83	        0	 -40.00	        0
Tue May 09 12:23:37 2017	 -39.99	  17.96	  42.76	        0	 -40.00	        0
Tue May 09 12:23:48 2017	 -39.98	  17.99	  42.94	        0	 -40.00	        0
Tue May 09 12:23:58 2017	 -39.98	  18.02	  42.98	        0	 -40.00	        0
Tue May 09 12:24:09 2017	 -39.98	  18.02	  42.96	        0	 -40.00	        0
Tue May 09 12:24:19 2017	 -39.98	  18.02	  43.03	        0	 -40.00	        0
Tue May 09 12:24:30 2017	 -39.99	  18.05	  42.91	        0	 -40.00	        0
Tue May 09 12:24:41 2017	 -40.00	  18.08	  42.87	        0	 -40.00	        0
Tue May 09 12:24:51 2017	 -39.99	  18.08	  42.94	        0	 -40.00	        0
Tue May 09 12:25:02 2017	 -39.99	  18.11	  42.96	        0	 -40.00	        0
Tue May 09 12:25:13 2017	 -39.99	  18.11	  42.96	        0	 -40.00	        0
Tue May 09 12:25:23 2017	 -39.99	  18.13	  43.01	        0	 -40.00	        0
Tue May 09 12:25:34 2017	 -39.98	  18.13	  43.09	        0	 -40.00	        0
Tue May 09 12:25:45 2017	 -39.98	  18.16	  43.18	        0	 -40.00	        0
Tue May 09 12:25:55 2017	 -39.99	  18.19	  43.10	        0	 -40.00	        0
Tue May 09 12:26:06 2017	 -39.99	  18.19	  43.12	        0	 -40.00	        0
Tue May 09 12:26:17 2017	 -39.98	  18.22	  43.20	        0	 -40.00	        0
Tue May 09 12:26:27 2017	 -39.98	  18.25	  43.23	        0	 -40.00	        0
Tue May 09 12:26:38 2017	 -39.99	  18.25	  43.23	        0	 -40.00	        0
Tue May 09 12:26:48 2017	 -39.99	  18.28	  43.22	        0	 -40.00	        0
Tue May 09 12:26:59 2017	 -39.98	  18.28	  43.37	        0	 -40.00	        0
Tue May 09 12:27:10 2017	 -39.98	  18.31	  43.37	        0	 -40.00	        0
Tue May 09 12:27:20 2017	 -39.99	  18.34	  43.34	        0	 -40.00	        0
Tue May 09 12:27:31 2017	 -39.99	  18.34	  43.36	        0	 -40.00	        0
Tue May 09 12:27:42 2017	 -40.00	  18.34	  43.22	        0	 -40.00	        0
Tue May 09 12:27:52 2017	 -40.00	  18.36	  43.19	        0	 -40.00	        0
Tue May 09 12:28:03 2017	 -39.99	  18.39	  43.29	        0	 -40.00	        0
Tue May 09 12:28:14 2017	 -39.99	  18.39	  43.32	        0	 -40.00	        0
Tue May 09 12:28:24 2017	 -39.99	  18.42	  43.40	        0	 -40.00	        0
Tue May 09 12:28:35 2017	 -39.99	  18.42	  43.40	        0	 -40.00	        0
Tue May 09 12:28:45 2017	 -39.99	  18.45	  43.46	        0	 -40.00	        0
Tue May 09 12:28:56 2017	 -39.98	  18.48	  43.50	        0	 -40.00	        0
Tue May 09 12:29:07 2017	 -39.98	  18.48	  43.60	        0	 -40.00	        0
Tue May 09 12:29:17 2017	 -39.98	  18.51	  43.59	        0	 -40.00	        0
Tue May 09 12:29:28 2017	 -39.98	  18.51	  43.67	        0	 -40.00	        0
Tue May 09 12:29:39 2017	 -39.99	  18.54	  43.62	        0	 -40.00	        0
Tue May 09 12:29:49 2017	 -39.99	  18.57	  43.61	        0	 -40.00	        0
Tue May 09 12:30:00 2017	 -39.99	  18.57	  43.60	        0	 -40.00	        0
Tue May 09 12:30:11 2017	 -40.00	  18.60	  43.58	        0	 -40.00	        0
Tue May 09 12:30:21 2017	 -40.01	  18.60	  43.47	        0	 -40.00	        0
Tue May 09 12:30:32 2017	 -40.00	  18.62	  43.48	        0	 -40.00	        0
Tue May 09 12:30:43 2017	 -39.99	  18.62	  43.63	        0	 -40.00	        0
Tue May 09 12:30:53 2017	 -39.98	  18.65	  43.77	        0	 -40.00	        0
Tue May 09 12:31:04 2017	 -39.99	  18.68	  43.72	        0	 -40.00	        0
Tue May 09 12:31:14 2017	 -39.99	  18.68	  43.70	        0	 -40.00	        0
Tue May 09 12:31:25 2017	 -39.99	  18.71	  43.74	        0	 -40.00	        0
Tue May 09 12:31:36 2017	 -39.98	  18.74	  43.86	        0	 -40.00	        0
Tue May 09 12:31:46 2017	 -39.98	  18.74	  43.85	        0	 -40.00	        0
Tue May 09 12:31:57 2017	 -39.98	  18.77	  43.92	        0	 -40.00	        0
Tue May 09 12:32:08 2017	 -39.98	  18.77	  43.96	        0	 -40.00	        0
Tue May 09 12:32:18 2017	 -39.98	  18.80	  44.01	        0	 -40.00	        0
Tue May 09 12:32:29 2017	 -39.99	  18.83	  43.97	        0	 -40.00	        0
Tue May 09 12:32:40 2017	 -39.98	  18.80	  44.05	        0	 -40.00	        0
Tue May 09 12:32:50 2017	 -39.99	  18.85	  44.00	        0	 -40.00	        0
Tue May 09 12:33:01 2017	 -39.99	  18.85	  44.00	        0	 -40.00	        0
Tue May 09 12:33:11 2017	 -39.98	  18.88	  44.11	        0	 -40.00	        0
Tue May 09 12:33:22 2017	 -39.99	  18.88	  44.06	        0	 -40.00	        0
Tue May 09 12:33:33 2017	 -40.00	  18.91	  44.00	        0	 -40.00	        0
Tue May 09 12:33:43 2017	 -39.99	  18.91	  44.06	        0	 -40.00	        0
Tue May 09 12:33:54 2017	 -39.99	  18.94	  44.12	        0	 -40.00	        0
Tue May 09 12:34:05 2017	 -39.98	  18.97	  44.18	        0	 -40.00	        0
Tue May 09 12:34:15 2017	 -39.99	  18.97	  44.17	        0	 -40.00	        0
Tue May 09 12:34:26 2017	 -39.98	  18.97	  44.23	        0	 -40.00	        0
Tue May 09 12:34:37 2017	 -39.98	  19.00	  44.30	        0	 -40.00	        0
Tue May 09 12:34:47 2017	 -39.99	  19.03	  44.22	        0	 -40.00	        0
Tue May 09 12:34:58 2017	 -39.99	  19.03	  44.23	        0	 -40.00	        0
Tue May 09 12:35:08 2017	 -40.00	  19.06	  44.21	        0	 -40.00	        0
Tue May 09 12:35:19 2017	 -40.01	  19.06	  44.11	        0	 -40.00	        0
Tue May 09 12:35:30 2017	 -40.00	  19.08	  44.15	        0	 -40.00	        0
Tue May 09 12:35:40 2017	 -39.98	  19.08	  44.37	        0	 -40.00	        0
Tue May 09 12:35:51 2017	 -39.98	  19.11	  44.37	        0	 -40.00	        0
