[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Tue May 09 08:33:49 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.10	 3	 2
Tue May 09 08:34:00 2017	 173.00	 173.00	   3.00	   3.00	  22.40	  10.50	 3	 2
Tue May 09 08:34:10 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.70	 3	 2
Tue May 09 08:34:21 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 2
Tue May 09 08:34:31 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 3	 3
Tue May 09 08:34:42 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.30	 3	 3
Tue May 09 08:34:53 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 3
Tue May 09 08:35:03 2017	 173.00	 173.00	   3.00	   3.00	  21.30	  10.50	 3	 3
Tue May 09 08:35:14 2017	 173.00	 173.00	   3.00	   3.00	  21.30	  10.50	 3	 4
Tue May 09 08:35:25 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 4
Tue May 09 08:35:35 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.30	 3	 4
Tue May 09 08:35:46 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.20	 3	 4
Tue May 09 08:35:57 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:36:07 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:36:18 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:36:28 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.20	 3	 5
Tue May 09 08:36:39 2017	 173.00	 173.00	   3.00	   3.00	  22.30	  10.10	 3	 5
Tue May 09 08:36:50 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:37:00 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.20	 3	 5
Tue May 09 08:37:11 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.40	 3	 5
Tue May 09 08:37:22 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:37:32 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.90	 3	 5
Tue May 09 08:37:43 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 3	 5
Tue May 09 08:37:53 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 3	 5
Tue May 09 08:38:04 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.50	 3	 5
Tue May 09 08:38:15 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 5
Tue May 09 08:38:25 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.40	 3	 5
Tue May 09 08:38:36 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 5
Tue May 09 08:38:47 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 5
Tue May 09 08:38:57 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 3	 5
Tue May 09 08:39:08 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:39:18 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:39:29 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 3	 5
Tue May 09 08:39:40 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:39:50 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:40:01 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
Tue May 09 08:40:11 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.30	 3	 5
Tue May 09 08:40:22 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 3	 5
Tue May 09 08:40:33 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:40:43 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:40:54 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 3	 5
Tue May 09 08:41:05 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 3	 5
