[Spellman 1]
	 time    	kV   	mA   	powlim	fil	kV_toset	mA_toset 	 x-ray on|interlockopen|filament limit fault|power supply fault|overpower|overcurrent|overvoltage|kV min fault|remote
Tue May 09 08:27:27 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:27:32 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:27:37 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:27:43 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:27:48 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:27:54 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:27:59 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:04 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:10 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:15 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:21 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:26 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:31 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:37 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:42 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:48 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:53 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:28:58 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:04 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:09 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:15 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:20 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:25 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:31 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:36 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:42 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:47 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:52 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:29:58 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:03 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:09 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:14 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:20 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:25 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:31 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:36 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:41 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:47 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:52 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:30:58 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:03 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:08 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:14 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:19 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:25 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:30 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:35 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:41 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:46 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:52 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:31:57 2017	  49.97	  39.96	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:02 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:08 2017	  49.91	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:13 2017	  49.97	  39.96	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:19 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:24 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:29 2017	  49.97	  39.96	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:35 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:40 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:46 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:51 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:32:56 2017	  49.91	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:02 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:07 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:13 2017	  49.97	  39.96	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:18 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:24 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:29 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:34 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:40 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:45 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:51 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:33:56 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:01 2017	  49.91	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:07 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:12 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:18 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:23 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:28 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:34 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:39 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:45 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:50 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:34:55 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:01 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:06 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:12 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:17 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:22 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:28 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:33 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:39 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:44 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:49 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:35:55 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:00 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:06 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:11 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:16 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:22 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:27 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:33 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:38 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:43 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:49 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:36:54 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:00 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:05 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:10 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:16 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:21 2017	  49.97	  39.96	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:27 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:32 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:37 2017	  49.97	  40.04	   2.20	   3.15	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:43 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:48 2017	  49.97	  39.96	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:54 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:37:59 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:38:04 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
Tue May 09 08:38:10 2017	  49.97	  40.04	   2.20	   3.16	  50.00	  40.00	 1|1|0|0|0|0|0|0|1
