[PowderGraph 1]
2thetadeg	d-value	intx	sigx	count
   1.37088     64.38934    0.00000    0.00000          0
   1.38088     63.92311    0.00000    0.00000          0
   1.39087     63.46359    0.00000    0.00000          0
   1.40087     63.01062    0.00000    0.00000          0
   1.41087     62.56408    0.00000    0.00000          0
   1.42087     62.12382    0.00000    0.00000          0
   1.43087     61.68971    0.00000    0.00000          0
   1.44087     61.26163    0.00000    0.00000          0
   1.45087     60.83945    0.00000    0.00000          0
   1.46087     60.42305    0.00000    0.00000          0
   1.47087     60.01231    0.00000    0.00000          0
   1.48087     59.60712    0.00000    0.00000          0
   1.49087     59.20736    0.00000    0.00000          0
   1.50086     58.81293    0.00000    0.00000          0
   1.51086     58.42372    0.00000    0.00000          0
   1.52086     58.03963    0.00000    0.00000          0
   1.53086     57.66056    0.00000    0.00000          0
   1.54086     57.28640    0.00000    0.00000          0
   1.55086     56.91707    0.00000    0.00000          0
   1.56086     56.55248    0.00000    0.00000          0
   1.57086     56.19252    0.00000    0.00000          0
   1.58086     55.83712    0.00000    0.00000          0
   1.59086     55.48619    0.00000    0.00000          0
   1.60086     55.13964    0.00000    0.00000          0
   1.61085     54.79739    0.00000    0.00000          0
   1.62085     54.45936    0.00000    0.00000          0
   1.63085     54.12549    0.00000    0.00000          0
   1.64085     53.79568    0.00000    0.00000          0
   1.65085     53.46986    0.00000    0.00000          0
   1.66085     53.14797    0.00000    0.00000          0
   1.67085     52.82993    0.00000    0.00000          0
   1.68085     52.51568    0.00000    0.00000          0
   1.69085     52.20514    0.00000    0.00000          0
   1.70085     51.89825    0.00000    0.00000          0
   1.71085     51.59495    0.00000    0.00000          0
   1.72084     51.29518    0.00000    0.00000          0
   1.73084     50.99887    0.00000    0.00000          0
   1.74084     50.70596    0.00000    0.00000          0
   1.75084     50.41640    0.00000    0.00000          0
   1.76084     50.13013    0.00000    0.00000          0
   1.77084     49.84709    0.00000    0.00000          0
   1.78084     49.56723    0.00000    0.00000          0
   1.79084     49.29050    0.00000    0.00000          0
   1.80084     49.01684    0.00000    0.00000          0
   1.81084     48.74620    0.00000    0.00000          0
   1.82084     48.47853    0.00000    0.00000          0
   1.83083     48.21379    0.00000    0.00000          0
   1.84083     47.95192    0.00000    0.00000          0
   1.85083     47.69288    0.00000    0.00000          0
   1.86083     47.43663    0.00000    0.00000          0
   1.87083     47.18312    0.00000    0.00000          0
   1.88083     46.93230    0.00000    0.00000          0
   1.89083     46.68413    0.00000    0.00000          0
   1.90083     46.43858    0.00000    0.00000          0
   1.91083     46.19559    0.00000    0.00000          0
   1.92083     45.95514    0.00000    0.00000          0
   1.93083     45.71717    0.00000    0.00000          0
   1.94082     45.48166    0.00000    0.00000          0
   1.95082     45.24857    0.00000    0.00000          0
   1.96082     45.01785    0.00000    0.00000          0
   1.97082     44.78947    0.00000    0.00000          0
   1.98082     44.56339    0.00000    0.00000          0
   1.99082     44.33959    0.00000    0.00000          0
   2.00082     44.11803    0.00000    0.00000          0
   2.01082     43.89867    0.00000    0.00000          0
   2.02082     43.68148    0.00000    0.00000          0
   2.03082     43.46642    0.00000    0.00000          0
   2.04082     43.25348    0.00000    0.00000          0
   2.05081     43.04261    0.00000    0.00000          0
   2.06081     42.83379    0.00000    0.00000          0
